Quarter/Year,Quarter,Quarter No.,Year,Date,Total revenue ,Earnings per share (EPS) basic ,Adjusted revenue growth, Net income ,  Economic profit , Book value per share  ,Common share price High,Low,Close,Change in Share price , Total assets  , Average assets  ,Number of employees (full-time equivalent)  Total,Number of banking branches Total,Number of automated teller machines (ATMs),Interest income ,Total,Non interest total,Return on common equity (ROE),Return on assets(ROA),Total capital risk-weighted assets (RWA),RORAC (net Income/Total RWA),Dividend Payout Ratio,Sustainable grough rate(ROE*(1-DPR)),Company Name 
Q1/08,Q1,1,8,2008-03-01,5647,0.96,-0.009,1245,,18.04,55.84,45.15,50.65,,632761,,64905,1544,4547,6791,2141,3506,0.214,0.007887899,0,,0.52,0.10272,RBC 
Q2/08,Q2,2,8,2008-06-01,4954,0.7,-0.126,928,,18.37,51.76,42.82,48.02,0,627471,,66748,1648,4634,6375,2209,2745,0.156,0.0058,0,,0.72,0.04368,RBC 
Q3/08,Q3,3,8,2008-09-01,5912,0.93,0.079,1262,,19.82,51.22,39.51,47.25,0,636792,,73773,1729,4897,5910,2301,3611,0.194,0.007809247,0,,0.54,0.08924,RBC 
Q4/08,Q4,4,8,2008-12-01,5069,0.82,-0.097,1120,,20.99,51.5,39.05,46.84,0,723859,,73323,1741,4964,6268,2709,2360,0.161,0.00657855,0,,0.61,0.06279,RBC 
Q1/09,Q1,1,9,2009-03-01,7063,0.78,0.251,1110,,21.74,48.3,28.05,30.41,0,713367,742800,73416,1747,4984,5830,2832,4231,0.145,0.005944897,0,,0.66,0.0493,RBC 
Q2/09,Q2,2,9,2009-06-01,6761,-0.07,0.365,-50,,21.22,43.74,25.52,42.3,1,680514,712300,72479,1756,5012,5132,2898,3863,-0.014,-0.0003,0,,0.528,-0.006682975,RBC 
Q3/09,Q3,3,9,2009-09-01,7823,1.06,0.323,1561,,21.98,51.55,41.12,51.28,1,660133,665600,72366,1759,5046,4815,2900,4923,0.194,0.0093,0,,0.47,0.10282,RBC 
Q4/09,Q4,4,9,2009-12-01,7459,0.83,0.471,1237,,22.67,58.5,49.19,54.8,1,654989,661000,71186,1761,5030,4766,2876,4583,0.147,0.0074,0,,0.6,0.0588,RBC 
Q1/10,Q1,1,10,2010-03-01,7334,1.01,0.038,1497,614,23.12,58.66,52.1,52.28,0,659499,660300,70600,1756,5037,4666,2747,4587,0.175,0.009,259016,0.005779566,0.5,0.0875,RBC 
Q2/10,Q2,2,10,2010-06-01,6967,0.89,0.03,1329,465,23.39,62.89,52.16,61.59,1,655136,653400,70812,1754,5043,4536,2699,4268,0.158,0.0083,249269,0.00533159,0.56,0.06952,RBC 
Q3/10,Q3,3,10,2010-09-01,6827,0.85,-0.127,1276,363,23.7,62.75,50.38,53.72,0,704424,691900,71972,1756,5048,4632,2748,4079,0.143,0.0073,258766,0.004931096,0.59,0.05863,RBC 
Q4/10,Q4,4,10,2010-12-01,7202,0.74,-0.034,1121,195,23.99,56.96,48.85,54.39,1,726206,725400,72126,1762,5033,4839,2783,4419,0.123,0.0061,260456,0.00430399,0.67,0.04059,RBC 
Q1/11,Q1,1,11,2011-03-01,7097,1.25,0.048,1839,942,24.75,56.32,50.78,53.68,0,721110,696700,68371,1340,4571,4773,2602,4495,0.203,0.01,256009,0.007183341,0.39,0.12383,RBC 
Q2/11,Q2,2,11,2011-06-01,6748,1.01,0.058,1506,620,24.94,61.53,53.77,59.6,1,728917,687000,68240,1336,4591,4651,2549,4199,0.167,0.0086,253235,0.005947045,0.48,0.08684,RBC 
Q3/11,Q3,3,11,2011-09-01,6787,-0.11,0.104,-92,311,24.66,60.25,50.94,51.4,0,730570,701000,69065,1335,4610,4773,2707,4080,-0.017,-0.0005,261015,-0.00035247,0.52,-0.00816,RBC 
Q4/11,Q4,4,11,2011-12-01,6798,1.07,0.003,1599,658,25.65,52.06,44.38,48.62,0,751702,755900,68480,1338,4626,4723,2742,4056,0.167,0.0081,267780,0.00597132,0.5,0.0835,RBC 
Q1/12,Q1,1,12,2012-03-01,7574,1.23,0.049321142,1876,998,25.09,54.87,43.3,52.37,1,815016,814500,68337,1345,4704,5171,3003,4571,0.197,0.009060373,285508,0.006570744,0.44,0.11032,RBC 
Q2/12,Q2,2,12,2012-06-01,6924,1,0.013614405,1563,823,25.38,59.13,52.45,57.09,1,800371,787800,68201,1351,4819,5100,3031,3893,0.161,0.00791343,267138,0.005850909,0.56,0.07084,RBC 
Q3/12,Q3,3,12,2012-09-01,7756,1.49,0.124546904,2240,1286,26.56,57.09,48.7,51.38,0,824394,815000,75139,1355,4948,5379,3289,4467,0.227,0.010934116,278418,0.008045457,0.38,0.14074,RBC 
Q4/12,Q4,4,12,2012-12-01,7518,1.26,0.123430962,1911,922,27.31,58.78,50.45,56.94,1,825100,824600,74377,1361,5065,5202,3175,4343,0.187,0.009219569,280609,0.006810188,0.48,0.09724,RBC 
